Sample   ,PPC,PPC,PPC,PPC-,PPC-
      143,0  ,1  ,0  ,1   ,1   
      144,0  ,0  ,0  ,1   ,1   
      145,0  ,1  ,0  ,1   ,1   
      146,0  ,1  ,0  ,1   ,1   
      147,0  ,1  ,0  ,1   ,1   
      148,0  ,0  ,0  ,1   ,1   
      149,0  ,1  ,0  ,1   ,1   
      150,0  ,1  ,0  ,1   ,1   
      151,0  ,1  ,0  ,1   ,1   
      152,0  ,1  ,0  ,1   ,1   
      153,0  ,1  ,0  ,1   ,1   
      154,0  ,1  ,0  ,1   ,1   
      155,0  ,1  ,0  ,1   ,1   
      156,0  ,0  ,0  ,1   ,1   
      157,0  ,0  ,0  ,1   ,1   
      158,0  ,1  ,0  ,1   ,1   
      159,0  ,1  ,0  ,1   ,1   
      160,0  ,0  ,0  ,1   ,1   
      161,0  ,0  ,0  ,1   ,1   
      162,0  ,0  ,0  ,1   ,1   
      163,0  ,0  ,0  ,1   ,1   
      164,0  ,1  ,0  ,1   ,1   
      165,0  ,1  ,0  ,1   ,1   
      166,0  ,1  ,0  ,1   ,1   
      167,0  ,1  ,0  ,1   ,1   
      168,0  ,1  ,0  ,1   ,1   
      169,1  ,0  ,0  ,1   ,1   
      170,0  ,0  ,0  ,1   ,1   
      171,1  ,0  ,0  ,1   ,1   
      172,0  ,0  ,0  ,1   ,1   
      173,1  ,1  ,0  ,1   ,1   
      174,1  ,1  ,0  ,1   ,1   
      175,0  ,1  ,0  ,1   ,1   
      176,0  ,0  ,0  ,1   ,1   
      177,1  ,0  ,0  ,1   ,1   
      178,1  ,0  ,0  ,1   ,1   
      179,0  ,0  ,0  ,1   ,1   
      180,0  ,0  ,0  ,1   ,1   
      181,0  ,0  ,1  ,1   ,1   
      182,0  ,0  ,0  ,1   ,1   
      183,0  ,1  ,0  ,1   ,1   
      184,0  ,0  ,0  ,1   ,1   
      185,0  ,1  ,0  ,1   ,1   
      186,0  ,1  ,0  ,1   ,1   
      187,0  ,0  ,0  ,1   ,1   
      188,1  ,1  ,0  ,1   ,1   
      189,1  ,1  ,0  ,1   ,1   
      190,0  ,1  ,0  ,1   ,1   
      191,1  ,0  ,0  ,1   ,1   
      192,0  ,0  ,0  ,1   ,1   
      193,0  ,0  ,0  ,1   ,1   
      194,0  ,0  ,0  ,1   ,1   
      195,0  ,0  ,0  ,1   ,1   
      196,0  ,1  ,0  ,1   ,1   
      197,0  ,0  ,1  ,1   ,1   
      198,0  ,1  ,0  ,1   ,1   
      199,0  ,1  ,0  ,1   ,1   
      200,0  ,0  ,0  ,1   ,1   
      201,0  ,1  ,1  ,1   ,1   
      202,0  ,0  ,0  ,1   ,1   
      203,0  ,0  ,1  ,1   ,1   
      204,0  ,0  ,1  ,1   ,1   
      205,0  ,0  ,0  ,1   ,1   
      206,0  ,0  ,1  ,1   ,1   
      207,0  ,0  ,1  ,1   ,1   
      208,0  ,0  ,0  ,1   ,1   
      209,0  ,0  ,0  ,1   ,1   
      210,0  ,0  ,0  ,1   ,1   
      211,0  ,0  ,1  ,1   ,1   
      212,0  ,0  ,0  ,1   ,1   
      213,0  ,0  ,1  ,1   ,1   
      214,0  ,0  ,1  ,1   ,1   
      215,0  ,0  ,1  ,1   ,1   
      216,0  ,0  ,1  ,1   ,1   
      217,0  ,0  ,1  ,1   ,1   
      218,0  ,0  ,1  ,1   ,1   
      219,0  ,0  ,1  ,1   ,1   
      220,0  ,0  ,1  ,1   ,1   
      221,0  ,0  ,1  ,1   ,1   
      222,0  ,0  ,1  ,1   ,1   
      223,0  ,0  ,1  ,1   ,1   
      224,0  ,0  ,1  ,1   ,1   
      225,0  ,0  ,1  ,1   ,1   
      226,1  ,0  ,0  ,1   ,1   
      227,1  ,0  ,0  ,1   ,1   
      228,0  ,0  ,0  ,1   ,1   
      229,0  ,0  ,0  ,1   ,1   
      230,1  ,0  ,0  ,1   ,1   
      231,1  ,0  ,0  ,1   ,1   
      232,0  ,0  ,0  ,1   ,1   
      233,0  ,0  ,0  ,1   ,1   
      234,0  ,0  ,1  ,1   ,1   
      235,0  ,0  ,0  ,1   ,1   
      236,0  ,1  ,0  ,1   ,1   
      237,0  ,0  ,0  ,1   ,1   
      238,0  ,1  ,0  ,1   ,1   
      239,0  ,1  ,0  ,1   ,1   
      240,0  ,0  ,0  ,1   ,1   
      241,1  ,1  ,0  ,1   ,1   
      242,1  ,1  ,0  ,1   ,1   
      243,0  ,1  ,0  ,1   ,1   
      244,1  ,0  ,0  ,1   ,1   
      245,0  ,0  ,0  ,1   ,1   
      246,0  ,0  ,0  ,1   ,1   
      247,0  ,0  ,0  ,1   ,1   
      248,0  ,0  ,0  ,1   ,1   
      249,0  ,0  ,0  ,1   ,1   
      250,0  ,0  ,1  ,1   ,1   
      251,0  ,0  ,0  ,1   ,1   
      252,0  ,0  ,0  ,1   ,1   
      253,0  ,0  ,0  ,1   ,1   
      254,0  ,0  ,1  ,1   ,1   
      255,0  ,0  ,0  ,1   ,1   
      256,0  ,0  ,1  ,1   ,1   
      257,0  ,0  ,1  ,1   ,1   
      258,0  ,0  ,0  ,1   ,1   
      259,0  ,0  ,1  ,1   ,1   
      260,0  ,0  ,1  ,1   ,1   
      261,0  ,0  ,0  ,1   ,1   
      262,0  ,0  ,0  ,1   ,1   
      263,0  ,0  ,0  ,1   ,1   
      264,0  ,0  ,1  ,1   ,1   
      265,0  ,0  ,0  ,1   ,1   
      266,0  ,0  ,1  ,1   ,1   
      267,0  ,0  ,1  ,1   ,1   
      268,0  ,0  ,1  ,1   ,1   
      269,0  ,0  ,1  ,1   ,1   
      270,0  ,0  ,1  ,1   ,1   
      271,0  ,0  ,1  ,1   ,1   
      272,0  ,0  ,1  ,1   ,1   
      273,0  ,0  ,1  ,1   ,1   
      274,0  ,0  ,1  ,1   ,1   
      275,0  ,0  ,1  ,1   ,1   
      276,0  ,0  ,1  ,1   ,1   
      277,0  ,0  ,1  ,1   ,1   
      278,0  ,0  ,1  ,1   ,1   
      279,1  ,1  ,0  ,1   ,1   
      280,1  ,1  ,0  ,1   ,1   
      281,0  ,1  ,0  ,1   ,1   
      282,0  ,0  ,0  ,1   ,1   
      283,1  ,0  ,0  ,1   ,1   
      284,1  ,0  ,0  ,1   ,1   
      285,0  ,0  ,0  ,1   ,1   
      286,0  ,0  ,0  ,1   ,1   
      287,0  ,0  ,1  ,1   ,1   
      288,0  ,0  ,0  ,1   ,1   
      289,0  ,1  ,0  ,1   ,1   
      290,0  ,0  ,0  ,1   ,1   
      291,0  ,1  ,0  ,1   ,1   
      292,0  ,1  ,0  ,1   ,1   
      293,0  ,1  ,0  ,1   ,1   
      294,1  ,0  ,0  ,1   ,1   
      295,1  ,0  ,0  ,1   ,1   
      296,0  ,0  ,0  ,1   ,1   
      297,1  ,0  ,0  ,1   ,1   
      298,0  ,0  ,0  ,1   ,1   
      299,0  ,0  ,0  ,1   ,1   
      300,0  ,0  ,1  ,1   ,1   
      301,0  ,1  ,0  ,1   ,1   
      302,0  ,1  ,0  ,1   ,1   
      303,0  ,0  ,0  ,1   ,1   
      304,0  ,0  ,0  ,1   ,1   
      305,0  ,1  ,0  ,1   ,1   
      306,0  ,0  ,0  ,1   ,1   
      307,0  ,1  ,0  ,1   ,1   
      308,0  ,0  ,0  ,1   ,1   
      309,0  ,1  ,0  ,1   ,1   
      310,0  ,0  ,0  ,1   ,1   
      311,0  ,1  ,0  ,1   ,1   
      312,0  ,1  ,0  ,1   ,1   
      313,0  ,1  ,0  ,1   ,1   
      314,0  ,1  ,0  ,1   ,1   
      315,0  ,1  ,0  ,1   ,1   
      316,0  ,1  ,0  ,1   ,1   
      317,0  ,1  ,0  ,1   ,1   
      318,0  ,0  ,0  ,1   ,1   
      319,0  ,0  ,0  ,1   ,1   
      320,0  ,1  ,0  ,1   ,1   
      321,0  ,1  ,0  ,1   ,1   
      322,0  ,0  ,0  ,1   ,1   
      323,0  ,0  ,0  ,1   ,1   
      324,0  ,0  ,0  ,1   ,1   
      325,0  ,0  ,0  ,1   ,1   
      326,0  ,1  ,0  ,1   ,1   
      327,0  ,1  ,0  ,1   ,1   
      328,0  ,1  ,0  ,1   ,1   
      329,0  ,1  ,0  ,1   ,1   
      330,0  ,1  ,0  ,1   ,1   
      331,0  ,0  ,0  ,1   ,1   
      332,1  ,1  ,0  ,1   ,1   
      333,1  ,1  ,0  ,1   ,1   
      334,0  ,1  ,0  ,1   ,1   
      335,0  ,0  ,0  ,1   ,1   
      336,1  ,0  ,0  ,1   ,1   
      337,1  ,0  ,0  ,1   ,1   
      338,0  ,0  ,0  ,1   ,1   
      339,0  ,0  ,0  ,1   ,1   
      340,0  ,0  ,1  ,1   ,1   
      341,0  ,0  ,0  ,1   ,1   
      342,0  ,1  ,0  ,1   ,1   
      343,0  ,0  ,0  ,1   ,1   
      344,0  ,1  ,0  ,1   ,1   
      345,0  ,1  ,0  ,1   ,1   
      346,0  ,1  ,0  ,1   ,1   
      347,1  ,0  ,0  ,1   ,1   
      348,1  ,0  ,0  ,1   ,1   
      349,0  ,0  ,0  ,1   ,1   
      350,1  ,0  ,0  ,1   ,1   
      351,0  ,0  ,0  ,1   ,1   
      352,0  ,0  ,0  ,1   ,1   
      353,0  ,0  ,0  ,1   ,1   
      354,0  ,0  ,0  ,1   ,1   
      355,0  ,1  ,0  ,1   ,1   
      356,0  ,0  ,0  ,1   ,1   
      357,0  ,0  ,0  ,1   ,1   
      358,0  ,1  ,0  ,1   ,1   
      359,0  ,0  ,0  ,1   ,1   
      360,0  ,0  ,0  ,1   ,1   
      361,0  ,1  ,0  ,1   ,1   
      362,0  ,0  ,0  ,1   ,1   
      363,0  ,0  ,0  ,1   ,1   
      364,0  ,0  ,0  ,1   ,1   
      365,0  ,0  ,0  ,1   ,1   
      366,0  ,0  ,0  ,1   ,1   
      367,0  ,0  ,0  ,1   ,1   
      368,0  ,0  ,0  ,1   ,1   
      369,0  ,0  ,0  ,1   ,1   
      370,0  ,0  ,0  ,1   ,1   
      371,0  ,0  ,0  ,1   ,1   
      372,0  ,0  ,0  ,1   ,1   
      373,0  ,0  ,1  ,1   ,1   
      374,0  ,1  ,0  ,1   ,1   
      375,0  ,0  ,0  ,1   ,1   
      376,0  ,0  ,0  ,1   ,1   
      377,0  ,0  ,0  ,1   ,1   
      378,0  ,0  ,0  ,1   ,1   
      379,0  ,1  ,0  ,1   ,1   
      380,0  ,1  ,0  ,1   ,1   
      381,0  ,1  ,0  ,1   ,1   
      382,0  ,1  ,0  ,1   ,1   
      383,0  ,1  ,0  ,1   ,1   
      384,0  ,0  ,0  ,1   ,1   
      385,1  ,1  ,0  ,1   ,1   
      386,1  ,1  ,0  ,1   ,1   
      387,0  ,1  ,0  ,1   ,1   
      388,0  ,0  ,0  ,1   ,1   
      389,1  ,0  ,0  ,1   ,1   
      390,1  ,0  ,0  ,1   ,1   
      391,0  ,0  ,0  ,1   ,1   
      392,0  ,0  ,0  ,1   ,1   
      393,0  ,0  ,1  ,1   ,1   
      394,0  ,0  ,0  ,1   ,1   
      395,0  ,1  ,0  ,1   ,1   
      396,0  ,0  ,0  ,1   ,1   
      397,0  ,1  ,0  ,1   ,1   
      398,0  ,1  ,0  ,1   ,1   
      399,0  ,0  ,0  ,1   ,1   
      400,1  ,1  ,0  ,1   ,1   
      401,1  ,1  ,0  ,1   ,1   
      402,0  ,1  ,0  ,1   ,1   
      403,1  ,0  ,0  ,1   ,1   
      404,0  ,0  ,0  ,1   ,1   
      405,0  ,0  ,0  ,1   ,1   
      406,0  ,0  ,0  ,1   ,1   
      407,0  ,0  ,0  ,1   ,1   
      408,0  ,0  ,0  ,1   ,1   
      409,0  ,1  ,0  ,1   ,1   
      410,0  ,0  ,0  ,1   ,1   
      411,0  ,0  ,0  ,1   ,1   
      412,0  ,0  ,0  ,1   ,1   
      413,0  ,1  ,0  ,1   ,1   
      414,0  ,0  ,0  ,1   ,1   
      415,0  ,1  ,0  ,1   ,1   
      416,0  ,1  ,0  ,1   ,1   
      417,0  ,0  ,0  ,1   ,1   
      418,0  ,1  ,0  ,1   ,1   
      419,0  ,1  ,0  ,1   ,1   
      420,0  ,0  ,0  ,1   ,1   
      421,0  ,0  ,0  ,1   ,1   
      422,0  ,0  ,0  ,1   ,1   
      423,0  ,1  ,0  ,1   ,1   
      424,0  ,0  ,0  ,1   ,1   
      425,0  ,1  ,0  ,1   ,1   
      426,0  ,1  ,0  ,1   ,1   
      427,0  ,1  ,0  ,1   ,1   
      428,0  ,1  ,0  ,1   ,1   
      429,0  ,1  ,0  ,1   ,1   
      430,0  ,1  ,0  ,1   ,1   
      431,0  ,1  ,0  ,1   ,1   
      432,0  ,1  ,0  ,1   ,1   
      433,0  ,1  ,0  ,1   ,1   
      434,0  ,1  ,0  ,1   ,1   
      435,0  ,1  ,0  ,1   ,1   
      436,0  ,1  ,0  ,1   ,1   
      437,0  ,1  ,0  ,1   ,1   
      438,1  ,1  ,0  ,1   ,1   
      439,1  ,1  ,0  ,1   ,1   
      440,0  ,1  ,0  ,1   ,1   
      441,0  ,0  ,0  ,1   ,1   
      442,1  ,0  ,0  ,1   ,1   
      443,1  ,0  ,0  ,1   ,1   
      444,0  ,0  ,0  ,1   ,1   
      445,0  ,0  ,0  ,1   ,1   
      446,0  ,0  ,1  ,1   ,1   
      447,0  ,0  ,0  ,1   ,1   
      448,0  ,1  ,0  ,1   ,1   
      449,0  ,0  ,0  ,1   ,1   
      450,0  ,1  ,0  ,1   ,1   
      451,0  ,1  ,0  ,1   ,1   
      452,0  ,1  ,0  ,1   ,1   
      453,1  ,0  ,0  ,1   ,1   
      454,1  ,0  ,0  ,1   ,1   
      455,0  ,0  ,0  ,1   ,1   
      456,1  ,0  ,0  ,1   ,1   
      457,0  ,0  ,0  ,1   ,1   
      458,0  ,0  ,0  ,1   ,1   
      459,0  ,0  ,0  ,1   ,1   
      460,0  ,1  ,0  ,1   ,1   
      461,0  ,1  ,0  ,1   ,1   
      462,0  ,0  ,0  ,1   ,1   
      463,0  ,0  ,0  ,1   ,1   
      464,0  ,1  ,0  ,1   ,1   
      465,0  ,0  ,0  ,1   ,1   
      466,0  ,1  ,0  ,1   ,1   
      467,0  ,0  ,0  ,1   ,1   
      468,0  ,1  ,0  ,1   ,1   
      469,0  ,0  ,0  ,1   ,1   
      470,0  ,1  ,0  ,1   ,1   
      471,0  ,1  ,0  ,1   ,1   
      472,0  ,1  ,0  ,1   ,1   
      473,0  ,1  ,0  ,1   ,1   
      474,0  ,1  ,0  ,1   ,1   
      475,0  ,1  ,0  ,1   ,1   
      476,0  ,1  ,0  ,1   ,1   
      477,0  ,0  ,0  ,1   ,1   
      478,0  ,0  ,1  ,1   ,1   
      479,0  ,1  ,1  ,1   ,1   
      480,0  ,1  ,0  ,1   ,1   
      481,0  ,0  ,0  ,1   ,1   
      482,0  ,0  ,0  ,1   ,1   
      483,0  ,0  ,0  ,1   ,1   
      484,0  ,0  ,0  ,1   ,1   
      485,0  ,1  ,0  ,1   ,1   
      486,0  ,1  ,0  ,1   ,1   
      487,0  ,1  ,0  ,1   ,1   
      488,0  ,1  ,0  ,1   ,1   
      489,0  ,1  ,0  ,1   ,1   
      490,0  ,0  ,0  ,1   ,1   
      491,1  ,1  ,0  ,1   ,1   
      492,1  ,1  ,0  ,1   ,1   
      493,0  ,1  ,0  ,1   ,1   
      494,0  ,0  ,0  ,1   ,1   
      495,1  ,0  ,0  ,1   ,1   
      496,1  ,0  ,0  ,1   ,1   
      497,0  ,0  ,0  ,1   ,1   
      498,0  ,0  ,0  ,1   ,1   
      499,0  ,0  ,1  ,1   ,1   
      500,0  ,0  ,0  ,1   ,1   
      501,0  ,1  ,0  ,1   ,1   
      502,0  ,0  ,0  ,1   ,1   
      503,0  ,1  ,0  ,1   ,1   
      504,0  ,0  ,0  ,1   ,1   
      505,0  ,1  ,0  ,1   ,1   
      506,1  ,0  ,0  ,1   ,1   
      507,1  ,0  ,0  ,1   ,1   
      508,0  ,0  ,0  ,1   ,1   
      509,1  ,0  ,0  ,1   ,1   
      510,0  ,0  ,0  ,1   ,1   
      511,0  ,0  ,0  ,1   ,1   
      512,0  ,0  ,0  ,1   ,1   
      513,0  ,0  ,1  ,1   ,1   
      514,0  ,1  ,0  ,1   ,1   
      515,0  ,0  ,0  ,1   ,1   
      516,0  ,1  ,0  ,1   ,1   
      517,0  ,0  ,0  ,1   ,1   
      518,0  ,1  ,0  ,1   ,1   
      519,0  ,0  ,0  ,1   ,1   
      520,0  ,0  ,0  ,1   ,1   
      521,0  ,0  ,0  ,1   ,1   
      522,0  ,0  ,0  ,1   ,1   
      523,0  ,0  ,0  ,1   ,1   
      524,0  ,0  ,0  ,1   ,1   
      525,0  ,0  ,0  ,1   ,1   
      526,0  ,0  ,0  ,1   ,1   
      527,0  ,0  ,0  ,1   ,1   
      528,0  ,0  ,0  ,1   ,1   
      529,0  ,0  ,0  ,1   ,1   
      530,0  ,0  ,0  ,1   ,1   
      531,0  ,0  ,1  ,1   ,1   
      532,0  ,0  ,1  ,1   ,1   
      533,0  ,0  ,0  ,1   ,1   
      534,0  ,0  ,0  ,1   ,1   
      535,0  ,0  ,0  ,1   ,1   
      536,0  ,0  ,0  ,1   ,1   
      537,0  ,0  ,0  ,1   ,1   
      538,0  ,0  ,0  ,1   ,1   
      539,0  ,0  ,0  ,1   ,1   
      540,0  ,0  ,0  ,1   ,1   
      541,0  ,0  ,0  ,1   ,1   
      542,0  ,0  ,0  ,1   ,1   
      543,0  ,0  ,0  ,1   ,1   
      544,1  ,0  ,0  ,1   ,1   
      545,1  ,0  ,0  ,1   ,1   
      546,0  ,0  ,0  ,1   ,1   
      547,0  ,0  ,0  ,1   ,1   
      548,1  ,0  ,0  ,1   ,1   
      549,1  ,0  ,0  ,1   ,1   
      550,0  ,0  ,0  ,1   ,1   
      551,0  ,0  ,0  ,1   ,1   
      552,0  ,0  ,1  ,1   ,1   
      553,0  ,0  ,0  ,1   ,1   
      554,0  ,1  ,0  ,1   ,1   
      555,0  ,0  ,0  ,1   ,1   
      556,0  ,1  ,0  ,1   ,1   
      557,0  ,0  ,0  ,1   ,1   
      558,0  ,1  ,0  ,1   ,1   
      559,1  ,0  ,0  ,1   ,1   
      560,1  ,0  ,0  ,1   ,1   
      561,0  ,0  ,0  ,1   ,1   
      562,1  ,0  ,0  ,1   ,1   
      563,0  ,0  ,0  ,1   ,1   
      564,0  ,0  ,0  ,1   ,1   
      565,0  ,0  ,1  ,1   ,1   
      566,0  ,0  ,1  ,1   ,1   
      567,0  ,1  ,0  ,1   ,1   
      568,0  ,0  ,0  ,1   ,1   
      569,0  ,1  ,0  ,1   ,1   
      570,0  ,0  ,0  ,1   ,1   
      571,0  ,1  ,0  ,1   ,1   
      572,0  ,0  ,0  ,1   ,1   
      573,0  ,0  ,0  ,1   ,1   
      574,0  ,0  ,0  ,1   ,1   
      575,0  ,0  ,0  ,1   ,1   
      576,0  ,0  ,0  ,1   ,1   
      577,0  ,0  ,0  ,1   ,1   
      578,0  ,0  ,0  ,1   ,1   
      579,0  ,0  ,0  ,1   ,1   
      580,0  ,0  ,0  ,1   ,1   
      581,0  ,0  ,0  ,1   ,1   
      582,0  ,0  ,0  ,1   ,1   
      583,0  ,0  ,0  ,1   ,1   
      584,0  ,0  ,0  ,1   ,1   
      585,0  ,0  ,0  ,1   ,1   
      586,0  ,0  ,0  ,1   ,1   
      587,0  ,0  ,0  ,1   ,1   
      588,0  ,0  ,0  ,1   ,1   
      589,0  ,0  ,0  ,1   ,1   
      590,0  ,0  ,0  ,1   ,1   
      591,0  ,0  ,0  ,1   ,1   
      592,0  ,0  ,0  ,1   ,1   
      593,0  ,0  ,0  ,1   ,1   
      594,0  ,0  ,0  ,1   ,1   
      595,0  ,0  ,0  ,1   ,1   
      596,0  ,0  ,0  ,1   ,1   
      597,1  ,0  ,0  ,1   ,1   
      598,1  ,0  ,0  ,1   ,1   
      599,0  ,0  ,0  ,1   ,1   
