Sample,TMS,TDI,TDO,TRST,HALT
262,0,0,0,1,1
263,0,0,0,1,1
264,0,0,0,1,1
265,0,0,0,1,1
266,0,0,0,1,1
267,0,0,0,1,1
268,0,1,0,1,1
269,0,0,0,1,1
270,0,0,0,1,1
271,0,0,0,1,1
272,0,0,0,1,1
273,0,1,0,1,1
274,0,1,0,1,1
275,0,1,0,1,1
276,0,1,0,1,1
277,0,1,0,1,1
278,0,0,0,1,1
279,1,1,0,1,1
280,1,1,0,1,1
281,0,1,0,1,1
282,0,0,0,1,1
283,1,0,0,1,1
284,1,0,0,1,1
285,0,0,0,1,1
286,0,0,0,1,1
287,0,0,1,1,1
288,0,0,0,1,1
289,0,1,0,1,1
290,0,0,0,1,1
291,0,1,0,1,1
292,0,1,0,1,1
293,0,1,0,1,1
294,1,0,0,1,1
295,1,0,0,1,1
296,0,0,0,1,1
297,1,0,0,1,1
298,0,0,0,1,1
299,0,0,0,1,1
300,0,0,0,1,1
301,0,1,0,1,1
302,0,1,0,1,1
303,0,0,0,1,1
304,0,0,0,1,1
305,0,1,0,1,1
306,0,0,0,1,1
307,0,1,0,1,1
308,0,1,0,1,1
309,0,1,0,1,1
310,0,0,0,1,1
311,0,1,0,1,1
312,0,1,0,1,1
313,0,1,0,1,1
314,0,1,0,1,1
315,0,1,0,1,1
316,0,1,0,1,1
317,0,1,0,1,1
318,0,0,0,1,1
319,0,0,0,1,1
320,0,1,1,1,1
321,0,1,0,1,1
322,0,0,0,1,1
323,0,0,0,1,1
324,0,0,0,1,1
325,0,0,0,1,1
326,0,1,0,1,1
327,0,1,0,1,1
328,0,1,0,1,1
329,0,1,0,1,1
330,0,1,0,1,1
331,1,0,0,1,1
332,0,0,0,1,1
333,1,0,0,1,1
334,0,0,0,1,1
335,1,1,0,1,1
336,1,1,0,1,1
337,0,1,0,1,1
338,1,0,0,1,1
339,0,0,0,1,1
340,0,0,0,1,1
341,0,0,1,1,1
342,0,1,0,1,1
343,0,1,0,1,1
344,0,0,0,1,1
345,0,0,0,1,1
346,0,1,0,1,1
347,0,0,0,1,1
348,0,1,0,1,1
349,0,1,0,1,1
350,0,1,0,1,1
351,0,0,0,1,1
352,0,1,0,1,1
353,0,1,0,1,1
354,0,1,0,1,1
355,0,1,0,1,1
356,0,1,0,1,1
357,0,1,0,1,1
358,0,1,0,1,1
359,0,0,0,1,1
360,0,0,0,1,1
361,0,1,0,1,1
362,0,1,0,1,1
363,0,0,0,1,1
364,0,0,0,1,1
365,0,0,0,1,1
366,0,0,0,1,1
367,0,1,0,1,1
368,0,1,0,1,1
369,0,1,0,1,1
370,0,1,0,1,1
371,0,1,0,1,1
372,1,0,0,1,1
373,0,0,0,1,1
374,1,0,0,1,1
375,0,0,0,1,1
376,1,1,0,1,1
377,1,1,0,1,1
378,0,1,0,1,1
379,0,0,0,1,1
380,1,0,0,1,1
381,1,0,0,1,1
382,0,0,0,1,1
383,0,0,0,1,1
384,0,0,1,1,1
385,0,0,0,1,1
386,0,1,0,1,1
387,0,0,0,1,1
388,0,1,0,1,1
389,0,1,0,1,1
390,0,0,0,1,1
391,1,1,0,1,1
392,1,1,0,1,1
393,0,1,0,1,1
394,1,0,0,1,1
395,0,0,0,1,1
396,0,0,0,1,1
397,0,0,0,1,1
398,0,0,0,1,1
399,0,1,0,1,1
400,0,0,0,1,1
401,0,1,0,1,1
402,0,1,0,1,1
403,0,0,0,1,1
404,0,1,0,1,1
405,0,0,0,1,1
406,0,0,0,1,1
407,0,0,0,1,1
408,0,0,0,1,1
409,0,0,0,1,1
410,0,0,0,1,1
411,0,0,0,1,1
412,0,0,0,1,1
413,0,0,0,1,1
414,0,0,0,1,1
415,0,0,0,1,1
416,0,0,0,1,1
417,0,0,0,1,1
418,0,0,0,1,1
419,0,0,0,1,1
420,0,0,0,1,1
421,0,0,0,1,1
422,0,0,0,1,1
423,0,0,0,1,1
424,0,0,0,1,1
425,0,0,0,1,1
426,0,0,0,1,1
427,0,0,0,1,1
428,0,0,0,1,1
429,1,0,0,1,1
430,1,0,0,1,1
431,0,0,0,1,1
432,0,0,0,1,1
433,1,0,0,1,1
434,1,0,0,1,1
435,0,0,0,1,1
436,0,0,0,1,1
437,0,0,1,1,1
438,0,0,0,1,1
439,0,1,0,1,1
440,0,0,0,1,1
441,0,1,0,1,1
442,0,1,0,1,1
443,0,0,0,1,1
444,1,1,0,1,1
445,1,1,0,1,1
446,0,1,0,1,1
447,1,0,0,1,1
448,0,0,0,1,1
449,0,0,0,1,1
450,0,0,0,1,1
451,0,0,0,1,1
452,0,0,0,1,1
453,0,0,0,1,1
454,0,0,0,1,1
455,0,0,0,1,1
456,0,0,0,1,1
457,0,0,0,1,1
458,0,0,0,1,1
459,0,0,0,1,1
460,0,0,0,1,1
461,0,0,0,1,1
462,0,0,0,1,1
463,0,0,0,1,1
464,0,0,0,1,1
465,0,0,0,1,1
466,0,0,0,1,1
467,0,0,0,1,1
468,0,1,0,1,1
469,0,0,0,1,1
470,0,0,0,1,1
471,0,0,0,1,1
472,0,1,0,1,1
473,0,0,0,1,1
474,0,1,0,1,1
475,0,0,0,1,1
476,0,0,0,1,1
477,0,0,0,1,1
478,0,0,0,1,1
479,0,0,0,1,1
480,0,0,0,1,1
481,0,0,0,1,1
482,1,1,0,1,1
483,1,1,0,1,1
484,0,1,0,1,1
485,0,0,0,1,1
486,1,0,0,1,1
487,1,0,0,1,1
488,0,0,0,1,1
489,0,0,0,1,1
490,0,0,1,1,1
491,0,0,0,1,1
492,0,1,0,1,1
493,0,0,0,1,1
494,0,1,0,1,1
495,0,1,0,1,1
496,0,1,0,1,1
497,1,0,0,1,1
498,1,0,0,1,1
499,0,0,0,1,1
500,1,0,0,1,1
501,0,0,0,1,1
502,0,0,0,1,1
503,0,0,1,1,1
504,0,1,0,1,1
505,0,1,0,1,1
506,0,0,0,1,1
507,0,0,0,1,1
508,0,1,0,1,1
509,0,0,0,1,1
510,0,1,0,1,1
511,0,0,0,1,1
512,0,1,0,1,1
513,0,0,0,1,1
514,0,1,0,1,1
515,0,1,0,1,1
516,0,1,0,1,1
517,0,1,0,1,1
518,0,1,0,1,1
519,0,1,0,1,1
520,0,1,0,1,1
521,0,0,0,1,1
522,0,0,0,1,1
523,0,1,0,1,1
524,0,1,0,1,1
525,0,0,0,1,1
526,0,0,0,1,1
527,0,0,0,1,1
528,0,0,0,1,1
529,0,1,0,1,1
530,0,1,0,1,1
531,0,1,0,1,1
532,0,1,0,1,1
533,0,1,0,1,1
534,0,0,0,1,1
535,1,1,0,1,1
536,1,1,0,1,1
537,0,1,0,1,1
538,0,0,0,1,1
539,1,0,0,1,1
540,1,0,0,1,1
541,0,0,0,1,1
542,0,0,0,1,1
543,0,0,1,1,1
544,0,0,0,1,1
545,0,1,0,1,1
546,0,0,0,1,1
547,0,1,0,1,1
548,0,1,0,1,1
549,0,1,0,1,1
550,1,0,0,1,1
551,1,0,0,1,1
552,0,0,0,1,1
553,1,0,0,1,1
554,0,0,0,1,1
555,0,0,0,1,1
556,0,0,0,1,1
557,0,1,0,1,1
558,0,1,0,1,1
559,0,0,0,1,1
560,0,0,0,1,1
561,0,1,0,1,1
562,0,0,0,1,1
563,0,1,0,1,1
564,0,1,0,1,1
565,0,1,0,1,1
566,0,0,0,1,1
567,0,1,0,1,1
568,0,1,0,1,1
569,0,1,0,1,1
570,0,1,0,1,1
571,0,1,0,1,1
572,0,1,0,1,1
573,0,1,0,1,1
574,0,0,0,1,1
575,0,0,0,1,1
576,0,1,1,1,1
577,0,0,0,1,1
578,0,0,0,1,1
579,0,0,0,1,1
580,0,0,0,1,1
581,0,0,0,1,1
582,0,1,0,1,1
583,0,1,0,1,1
584,0,1,0,1,1
585,0,1,0,1,1
586,0,1,0,1,1
587,1,0,0,1,1
588,0,0,0,1,1
589,1,0,0,1,1
590,0,0,0,1,1
591,1,1,0,1,1
592,1,1,0,1,1
593,0,1,0,1,1
594,1,0,0,1,1
595,0,0,0,1,1
596,0,0,0,1,1
597,0,0,1,1,1
598,0,1,0,1,1
599,0,1,0,1,1
600,0,0,0,1,1
601,0,0,0,1,1
602,0,1,0,1,1
603,0,0,0,1,1
604,0,1,0,1,1
605,0,1,0,1,1
606,0,1,0,1,1
607,0,0,0,1,1
608,0,1,0,1,1
609,0,1,0,1,1
610,0,1,0,1,1
611,0,1,0,1,1
612,0,1,0,1,1
613,0,1,0,1,1
614,0,1,0,1,1
615,0,0,0,1,1
616,0,0,0,1,1
617,0,1,0,1,1
618,0,0,0,1,1
619,0,0,0,1,1
620,0,0,0,1,1
621,0,0,0,1,1
622,0,0,0,1,1
623,0,1,0,1,1
624,0,1,0,1,1
625,0,1,0,1,1
626,0,1,0,1,1
627,0,1,0,1,1
628,1,0,0,1,1
629,0,0,0,1,1
630,1,0,0,1,1
631,0,0,0,1,1
632,1,1,0,1,1
633,1,1,0,1,1
634,0,1,0,1,1
635,0,0,0,1,1
636,1,0,0,1,1
637,1,0,0,1,1
638,0,0,0,1,1
639,0,0,0,1,1
640,0,0,1,1,1
641,0,0,0,1,1
642,0,1,0,1,1
643,0,0,0,1,1
644,0,1,0,1,1
645,0,1,0,1,1
646,0,0,0,1,1
647,1,1,0,1,1
648,1,1,0,1,1
649,0,1,0,1,1
650,1,0,0,1,1
651,0,0,0,1,1
652,0,0,0,1,1
653,0,0,0,1,1
654,0,0,0,1,1
655,0,1,0,1,1
656,0,0,0,1,1
657,0,1,0,1,1
658,0,1,0,1,1
659,0,0,0,1,1
660,0,1,0,1,1
661,0,0,0,1,1
662,0,0,0,1,1
663,0,0,0,1,1
664,0,0,0,1,1
665,0,0,0,1,1
666,0,0,0,1,1
667,0,0,0,1,1
668,0,0,0,1,1
669,0,0,0,1,1
670,0,0,0,1,1
671,0,0,0,1,1
672,0,0,0,1,1
673,0,0,0,1,1
674,0,0,0,1,1
675,0,0,0,1,1
676,0,0,0,1,1
677,0,0,0,1,1
678,0,0,0,1,1
679,0,0,0,1,1
680,0,0,0,1,1
681,0,0,0,1,1
682,0,0,0,1,1
683,0,0,0,1,1
684,0,0,0,1,1
685,1,0,0,1,1
686,1,0,0,1,1
687,0,0,0,1,1
688,0,0,0,1,1
689,1,0,0,1,1
690,1,0,0,1,1
691,0,0,0,1,1
692,0,0,0,1,1
693,0,0,1,1,1
694,0,0,0,1,1
695,0,1,0,1,1
696,0,0,0,1,1
697,0,1,0,1,1
698,0,1,0,1,1
699,0,1,0,1,1
700,1,0,0,1,1
701,1,0,0,1,1
702,0,0,0,1,1
703,1,0,0,1,1
704,0,0,0,1,1
705,0,0,0,1,1
706,0,0,1,1,1
707,0,1,0,1,1
708,0,1,0,1,1
709,0,0,0,1,1
710,0,0,0,1,1
711,0,1,0,1,1
712,0,0,0,1,1
713,0,1,0,1,1
714,0,1,0,1,1
715,0,1,0,1,1
716,0,0,0,1,1
717,0,1,0,1,1
718,0,1,0,1,1
719,0,1,0,1,1
720,0,1,0,1,1
721,0,1,0,1,1
722,0,1,0,1,1
723,0,1,0,1,1
724,0,0,0,1,1
725,0,0,0,1,1
726,0,1,0,1,1
727,0,1,0,1,1
728,0,0,0,1,1
729,0,0,0,1,1
730,0,0,0,1,1
731,0,0,0,1,1
732,0,1,0,1,1
733,0,1,0,1,1
734,0,1,0,1,1
735,0,1,0,1,1
736,0,1,0,1,1
737,1,0,0,1,1
738,0,0,0,1,1
739,1,0,0,1,1
740,0,0,0,1,1
741,1,1,0,1,1
742,1,1,0,1,1
743,0,1,0,1,1
744,0,0,0,1,1
745,1,0,0,1,1
746,1,0,0,1,1
747,0,0,0,1,1
748,0,0,0,1,1
749,0,0,1,1,1
750,0,0,0,1,1
751,0,1,0,1,1
752,0,0,0,1,1
753,0,1,0,1,1
754,0,1,0,1,1
755,0,0,0,1,1
756,1,1,0,1,1
757,1,1,0,1,1
758,0,1,0,1,1
759,1,0,0,1,1
760,0,0,0,1,1
761,0,0,0,1,1
762,0,0,0,1,1
763,0,0,0,1,1
764,0,1,0,1,1
765,0,0,0,1,1
766,0,1,0,1,1
767,0,1,0,1,1
768,0,0,0,1,1
769,0,1,0,1,1
770,0,0,0,1,1
771,0,0,0,1,1
772,0,0,0,1,1
773,0,0,0,1,1
774,0,0,0,1,1
775,0,0,0,1,1
776,0,0,0,1,1
777,0,0,0,1,1
778,0,0,0,1,1
779,0,0,0,1,1
780,0,0,1,1,1
781,0,0,0,1,1
782,0,0,0,1,1
783,0,0,0,1,1
784,0,0,1,1,1
785,0,0,0,1,1
786,0,0,1,1,1
787,0,0,0,1,1
788,0,0,0,1,1
789,0,0,0,1,1
790,0,0,0,1,1
791,0,0,0,1,1
792,0,0,0,1,1
793,0,0,0,1,1
794,1,0,0,1,1
795,1,0,0,1,1
796,0,0,0,1,1
797,0,0,0,1,1
798,1,0,0,1,1
799,1,0,0,1,1
800,0,0,0,1,1
801,0,0,0,1,1
802,0,0,1,1,1
803,0,0,0,1,1
804,0,1,0,1,1
805,0,0,0,1,1
806,0,1,0,1,1
807,0,1,0,1,1
808,0,1,0,1,1
809,1,0,0,1,1
810,1,0,0,1,1
811,0,0,0,1,1
812,1,0,0,1,1
813,0,0,0,1,1
814,0,0,0,1,1
815,0,0,1,1,1
816,0,1,0,1,1
817,0,1,0,1,1
818,0,0,0,1,1
819,0,0,0,1,1
820,0,1,0,1,1
821,0,0,0,1,1
822,0,1,0,1,1
823,0,1,0,1,1
824,0,1,0,1,1
825,0,0,0,1,1
826,0,1,0,1,1
827,0,1,0,1,1
828,0,1,0,1,1
829,0,1,0,1,1
830,0,1,0,1,1
831,0,1,0,1,1
832,0,1,0,1,1
833,0,0,0,1,1
834,0,0,0,1,1
835,0,1,0,1,1
836,0,1,0,1,1
837,0,0,0,1,1
838,0,0,0,1,1
839,0,0,0,1,1
840,0,0,0,1,1
841,0,1,0,1,1
842,0,1,0,1,1
843,0,1,0,1,1
844,0,1,0,1,1
845,0,1,0,1,1
846,1,0,0,1,1
847,0,0,0,1,1
848,1,0,0,1,1
849,0,0,0,1,1
850,1,1,0,1,1
851,1,1,0,1,1
852,0,1,0,1,1
853,0,0,0,1,1
854,1,0,0,1,1
855,1,0,0,1,1
856,0,0,0,1,1
857,0,0,0,1,1
858,0,0,1,1,1
859,0,0,0,1,1
860,0,1,0,1,1
861,0,0,0,1,1
862,0,1,0,1,1
863,0,1,0,1,1
864,0,0,0,1,1
865,1,1,0,1,1
866,1,1,0,1,1
867,0,1,0,1,1
868,1,0,0,1,1
869,0,0,0,1,1
870,0,0,0,1,1
871,0,0,0,1,1
872,0,0,0,1,1
873,0,1,0,1,1
874,0,0,0,1,1
875,0,1,0,1,1
876,0,1,0,1,1
877,0,0,0,1,1
878,0,1,0,1,1
879,0,0,0,1,1
880,0,0,0,1,1
881,0,0,0,1,1
882,0,0,0,1,1
883,0,0,0,1,1
884,0,0,0,1,1
885,0,0,0,1,1
886,0,0,0,1,1
887,0,0,0,1,1
888,0,0,0,1,1
889,0,0,1,1,1
890,0,0,0,1,1
891,0,0,0,1,1
892,0,0,0,1,1
893,0,0,1,1,1
894,0,0,0,1,1
895,0,0,1,1,1
896,0,0,0,1,1
897,0,0,0,1,1
898,0,0,0,1,1
899,0,0,0,1,1
900,0,0,0,1,1
901,0,0,0,1,1
902,0,0,0,1,1
903,1,0,0,1,1
904,1,0,0,1,1
905,0,0,0,1,1
906,0,0,0,1,1
907,1,0,0,1,1
908,1,0,0,1,1
909,0,0,0,1,1
910,0,0,0,1,1
911,0,0,1,1,1
912,0,0,0,1,1
913,0,1,0,1,1
914,0,0,0,1,1
915,0,1,0,1,1
916,0,1,0,1,1
917,0,1,0,1,1
918,1,0,0,1,1
919,1,0,0,1,1
920,0,0,0,1,1
921,1,0,0,1,1
922,0,0,0,1,1
923,0,0,0,1,1
924,0,0,1,1,1
925,0,1,0,1,1
926,0,1,0,1,1
927,0,0,0,1,1
928,0,0,0,1,1
929,0,1,0,1,1
930,0,0,0,1,1
931,0,1,0,1,1
932,0,0,0,1,1
933,0,1,0,1,1
934,0,0,0,1,1
935,0,1,0,1,1
936,0,0,0,1,1
937,0,1,0,1,1
938,0,1,0,1,1
939,0,1,0,1,1
940,0,0,0,1,1
941,0,1,0,1,1
942,0,0,0,1,1
943,0,0,0,1,1
944,0,1,0,1,1
945,0,1,0,1,1
946,0,0,0,1,1
947,0,0,0,1,1
948,0,0,0,1,1
949,0,0,0,1,1
950,0,1,0,1,1
951,0,1,0,1,1
952,0,1,0,1,1
953,0,1,0,1,1
954,0,1,0,1,1
955,1,0,0,1,1
956,0,0,0,1,1
957,1,0,0,1,1
958,0,0,0,1,1
959,1,1,0,1,1
960,1,1,0,1,1
961,0,1,0,1,1
962,0,0,0,1,1
963,1,0,0,1,1
964,1,0,0,1,1
965,0,0,0,1,1
966,0,0,0,1,1
967,0,0,1,1,1
968,0,0,0,1,1
969,0,1,0,1,1
970,0,0,0,1,1
971,0,1,0,1,1
972,0,1,0,1,1
973,0,1,0,1,1
974,1,0,0,1,1
975,1,0,0,1,1
976,0,0,0,1,1
977,1,0,0,1,1
978,0,0,0,1,1
979,0,0,0,1,1
980,0,0,1,1,1
981,0,1,0,1,1
982,0,1,0,1,1
983,0,0,0,1,1
984,0,0,0,1,1
985,0,1,0,1,1
986,0,0,0,1,1
987,0,1,0,1,1
988,0,1,0,1,1
989,0,1,0,1,1
990,0,0,0,1,1
991,0,1,0,1,1
992,0,1,0,1,1
993,0,1,0,1,1
994,0,1,0,1,1
995,0,1,0,1,1
996,0,1,0,1,1
997,0,1,0,1,1
998,0,0,0,1,1
999,0,0,0,1,1
1000,0,1,0,1,1
1001,0,1,0,1,1
1002,0,0,0,1,1
1003,0,0,0,1,1
1004,0,0,0,1,1
1005,0,0,0,1,1
1006,0,1,0,1,1
1007,0,1,0,1,1
1008,0,1,0,1,1
1009,0,1,0,1,1
1010,0,1,0,1,1
1011,1,0,0,1,1
1012,0,0,0,1,1
1013,1,0,0,1,1
1014,0,0,0,1,1
1015,1,1,0,1,1
1016,1,1,0,1,1
1017,0,1,0,1,1
1018,0,0,0,1,1
1019,1,0,0,1,1
1020,1,0,0,1,1
1021,0,0,0,1,1
1022,0,0,0,1,1
1023,0,0,1,1,1
1024,0,0,0,1,1
1025,0,1,0,1,1
1026,0,0,0,1,1
1027,0,1,0,1,1
1028,0,1,0,1,1
1029,0,0,0,1,1
1030,1,1,0,1,1
1031,1,1,0,1,1
1032,0,1,0,1,1
1033,1,0,0,1,1
1034,0,0,0,1,1
1035,0,0,0,1,1
1036,0,0,0,1,1
1037,0,0,0,1,1
1038,0,1,0,1,1
1039,0,0,0,1,1
1040,0,1,0,1,1
1041,0,1,0,1,1
1042,0,0,0,1,1
1043,0,1,0,1,1
1044,0,0,0,1,1
1045,0,0,0,1,1
1046,0,0,0,1,1
1047,0,0,0,1,1
1048,0,0,0,1,1
1049,0,0,0,1,1
1050,0,0,0,1,1
1051,0,0,0,1,1
1052,0,0,0,1,1
1053,0,0,0,1,1
1054,0,0,1,1,1
1055,0,0,0,1,1
1056,0,0,0,1,1
1057,0,0,0,1,1
1058,0,0,1,1,1
1059,0,0,0,1,1
1060,0,0,1,1,1
1061,0,0,0,1,1
1062,0,0,0,1,1
1063,0,0,0,1,1
1064,0,0,0,1,1
1065,0,0,0,1,1
1066,0,0,0,1,1
1067,0,0,0,1,1
1068,1,0,0,1,1
1069,1,0,0,1,1
1070,0,0,0,1,1
1071,0,0,0,1,1
1072,1,0,0,1,1
1073,1,0,0,1,1
1074,0,0,0,1,1
1075,0,0,0,1,1
1076,0,0,1,1,1
1077,0,0,0,1,1
1078,0,1,0,1,1
1079,0,0,0,1,1
1080,0,1,0,1,1
1081,0,1,0,1,1
1082,0,0,0,1,1
1083,1,1,0,1,1
1084,1,1,0,1,1
1085,0,1,0,1,1
1086,1,0,0,1,1
1087,0,0,0,1,1
1088,0,0,0,1,1
1089,0,0,0,1,1
1090,0,0,0,1,1
1091,0,0,0,1,1
1092,0,0,0,1,1
1093,0,0,0,1,1
1094,0,0,0,1,1
1095,0,0,0,1,1
1096,0,0,0,1,1
1097,0,0,0,1,1
1098,0,0,0,1,1
1099,0,0,0,1,1
1100,0,0,0,1,1
1101,0,0,0,1,1
1102,0,0,0,1,1
1103,0,0,0,1,1
1104,0,0,0,1,1
1105,0,0,0,1,1
1106,0,0,0,1,1
1107,0,1,1,1,1
1108,0,0,0,1,1
1109,0,0,0,1,1
1110,0,0,0,1,1
1111,0,1,1,1,1
1112,0,0,0,1,1
1113,0,1,1,1,1
1114,0,0,0,1,1
1115,0,0,0,1,1
1116,0,0,0,1,1
1117,0,0,0,1,1
1118,0,0,0,1,1
1119,0,0,0,1,1
1120,0,0,0,1,1
1121,1,1,0,1,1
1122,1,1,0,1,1
1123,0,1,0,1,1
1124,0,0,0,1,1
1125,1,0,0,1,1
1126,1,0,0,1,1
1127,0,0,0,1,1
1128,0,0,0,1,1
1129,0,0,1,1,1
1130,0,0,0,1,1
1131,0,1,0,1,1
1132,0,0,0,1,1
1133,0,1,0,1,1
1134,0,1,0,1,1
1135,0,1,0,1,1
1136,1,0,0,1,1
1137,1,0,0,1,1
1138,0,0,0,1,1
1139,1,0,0,1,1
1140,0,0,0,1,1
1141,0,0,0,1,1
1142,0,0,1,1,1
1143,0,1,0,1,1
1144,0,1,0,1,1
1145,0,0,0,1,1
1146,0,0,0,1,1
1147,0,1,0,1,1
1148,0,0,0,1,1
1149,0,1,0,1,1
